train_id,train_number,train_name,train_type
351,11102,"GWL-PUNE EXP",EXP
352,11103,"JHS-BDTS EXP",EXP
353,11104,"BDTS-JHS EXP",EXP
354,11107,"BUNDELKHAND",SF
355,11109,"JHS-LKO INTE",SF
356,11110,"LKO -JHS INT",SF
357,11111,"GWL-BLP SUSH",SF
358,11112,"BLP-GWL SUSH",SF
359,11123,"BARAUNI-GWL",SF
360,11124,"GWALIAR-BJU",SF
361,11125,"IND-GWL EXP",EXP
362,11126,"GWL-IND EXP",EXP
363,11201,"LTT-AJNI EXP",EXP
364,11202,"AJNI-LTT EXP",EXP
365,11203,"NAGPUR JAIPU",SF
366,11204,"JAIPUR NAGPU",SF
367,11205,"LTT-NZB EXPR",EXP
368,11206,"NZB-LTT WEEK",SF
369,11265,"JBP-ABKP EXP",EXP
370,11266,"ABKP-JBP EXP",EXP
371,11272,"VINDHYACHAL",SF
372,11301,"UDYAN EXPRES",EXP
373,11302,"UDYAN EXP",EXP
374,11303,"HYB-KOP EXPR",EXP
375,11304,"KOP-HYB EXPR",EXP
376,11307,"GR-HYB- INTE",SF
377,11308,"HYB-GR INTER",SF
378,11309,"SUR-MRJ EXP",EXP
379,11310,"MRJ-SUR EXP",EXP
380,11401,"NANDIGRHAM E",SF
381,11402,"NADHIGRAM EX",SF
382,11403,"NGP-KOP EXPR",EXP
383,11404,"KOP-NGP EXPR",EXP
384,11405,"PUNE-AMRAVAT",SF
385,11406,"AMRAVAI-PUNE",SF
386,11407,"PUNE-LJN EXP",EXP
387,11408,"LJN-PUNE EXP",EXP
388,11423,"SUR HUBLI EX",SF
389,11424,"GDG-SUR EXPR",EXP
390,11447,"SHAKTIPUNJ E",SF
391,11449,"JBP-SVDK EXP",EXP
392,11450,"SVDK-JBP EXP",EXP
393,11463,"SMNH-JBP EXP",EXP
394,11464,"JBP -SMNH EX",SF
395,11466,"JBP-SMNH EXP",EXP
396,11651,"JBP-SGRL INT",SF
397,11652,"SGRL-JBP INT",SF
398,11701,"JBP-INDB INT",SF
399,11702,"INDB-JBP INT",SF
400,11703,"REWA-DADN  E",SF
401,11704,"INDB-REWA EX",SF
402,11801,"JHS-ETW EXPR",EXP
403,11802,"ETW-JHS LINK",SF
404,11901,"MTJ-KKDE EXP",EXP
405,11902,"KKDE-MTJ EXP",EXP
406,12001,"BPL - NDLS S",SF
407,12002,"NDLS - BPL S",SF
408,12003,"LKO-NDLS SHA",SF
409,12004,"NDLS-LKO SHA",SF
410,12005,"NDLS-KLK- SH",SF
411,12006,"KLK-NDLS SHA",SF
412,12007,"MAS-MYS SHAT",SF
413,12008,"MYS-MAS SHAT",SF
414,12009,"SHATABDI EXP",EXP
415,12011,"NDLS-KLK SHA",SF
416,12013,"NDLS-ASR SHA",SF
417,12014,"ASR-NDLS SHA",SF
418,12015,"NDLS-AII SHA",SF
419,12016,"AII-NDLS SHA",SF
420,12017,"NDLS-DDN SHA",SF
421,12018,"DDN-NDLS SHA",SF
422,12019,"HOWRAH RANCH",SF
423,12020,"RNC HWH SHAT",SF
424,12021,"HOWRAH-BARAB",SF
425,12022,"BARABIL-HOWR",SF
426,12023,"HOWRAH PATNA",SF
427,12024,"PATNA HOWRAH",SF
428,12025,"PUNE-SC SHAT",SF
429,12026,"SC-PUNE SHAT",SF
430,12027,"MAS-SBC SHAT",SF
431,12028,"SBC-MAS SHAT",SF
432,12029,"SWARNA SHATA",SF
433,12031,"NDLS-ASR-SHA",SF
434,12033,"CNB NDLS SHT",SHT
435,12034,"NDLS CNB SHA",SF
436,12035,"JP AF SHATAB",SF
437,12036,"AF JP SHATAB",SF
438,12037,"NDLS-LDH SHA",SF
439,12038,"LDH-NDLS SHA",SF
440,12039,"KGM-NDLS SHA",SF
441,12040,"NDLS-KGM SHA",SF
442,12041,"HWH - NJP SH",SF
443,12042,"NJP - HWH SH",SF
444,12043,"NDLS-MOGA SH",SF
445,12044,"MOGA-NDLS SH",SF
446,12045,"NDLS-CDG SHA",SF
447,12046,"CDG-NDLS SHA",SF
448,12047,"BHATINDA SHA",SF
449,12048,"NEW DELHI SH",SF
450,12049,"GATIMAN EXPR",EXP
451,12051,"JAN SHATABDI",JST
452,12052,"MAO-DR JAN S",JST
453,12053,"HW-ASR EXP",EXP
454,12054,"ASR-HW JAN S",JST
455,12055,"DDN JANSHATA",JST
456,12056,"NEWDELHI JAN",JST
457,12057,"NDLS-NLDM- J",SF
458,12058,"NDLS JANSHTB",SHT
459,12059,"NZM JAN SHAT",JST
460,12060,"KOTA JANSHTB",SHT
461,12061,"JBP JANSHATA",JST
462,12062,"HBJ JANSHATA",JST
463,12066,"AII JAN SHAT",JST
464,12067,"JANSATABDI E",JST
465,12068,"JANSATBDI EX",JST
466,12069,"RIG - G JANS",JST
467,12070,"G - RIG JANS",JST
468,12071,"JANSHATABDI",JST
469,12073,"HWH-BBS JAN",JST
470,12074,"BBS-HWH JAN",JST
471,12075,"CLT - T VC J",SF
472,12076,"TVC - CLT JA",SF
473,12077,"MAS-BZA JAN",JST
474,12078,"BZA-MAS-JAN",JST
475,12081,"CAN - TVC JA",SF
476,12082,"TVC - CAN JA",SF
477,12083,"MV-CBE JANSH",JST
478,12084,"CBE-MV JAN S",JST
479,12085,"GHY-DBRG SHA",SF
480,12086,"DBRG-GHY SHA",SF
481,12087,"NHLN - GHY S",SF
482,12088,"GHY - NHLN S",SF
483,12101,"JNANESWARI D",SF
484,12102,"JNANESWARISU",SF
485,12103,"PUNE-LKO EXP",EXP
486,12105,"VIDARBHA EXP",EXP
487,12107,"LTT-LJN EXPR",EXP
488,12108,"LJN-LTT EXPR",EXP
489,12109,"PANCHAVATI E",SF
490,12110,"PANCHAVTI EX",SF
491,12111,"CSMT-AMI SF",SF
492,12112,"AMI-CSMT SF",SF
493,12113,"PUNE-NGP GAR",SF
494,12114,"NGP-PUNE GAR",SF
495,12115,"CSTM-SUR SID",SF
496,12116,"SUR-CSMT SID",SF
497,12117,"LTT MANMAD E",SF
498,12118,"MANMAD LTT E",SF
499,12119,"AMRAVATI-NGP",SF
500,12120,"NGP-AMI EXPR",EXP
501,12121,"M P SMPRK KR",SF
502,12122,"M P S KRANTI",SF
503,12123,"DECCAN QUEEN",SF
504,12125,"PRAGATI EXPR",EXP
505,12127,"INTERCITY EX",SF
506,12129,"AZAD HIND EX",SF
507,12130,"HOWRAH PUNE",SF
508,12131,"DR SAINAGAR",SF
509,12132,"SAINAGAR DR",SF
510,12133,"CSMT-MAJN EX",SF
511,12134,"MAJN-CSMT EX",SF
512,12135,"PUNE-NGP EXP",EXP
513,12136,"NGP-PUNE EXP",EXP
514,12137,"PUNJAB MAIL",SF
515,12139,"SEWAGRAM EXP",EXP
516,12141,"LTT-PPTA EXP",EXP
517,12142,"PPTA-LTT SF",SF
518,12143,"LTT-SLN SF E",SF
519,12144,"SLN LTT SF S",SF
520,12145,"LTT-PURI WEE",SF
521,12146,"PURI-LTT WEE",SF
522,12147,"KOP-NZM EXPR",EXP
523,12148,"NZM-KOP EXPR",EXP
524,12149,"PUNE-DNR EXP",EXP
525,12150,"DNR-PUNE EXP",EXP
526,12151,"SAMARSATA EX",SF
527,12152,"HWH-LTT SAMR",SF
528,12153,"LTT-HBJ EXPR",EXP
529,12154,"HBJ-LTT EXPR",EXP
530,12155,"SHAN-E-BPL E",SF
531,12156,"SHAN-E- BHOP",SF
532,12157,"HUTATMA EXPR",EXP
533,12159,"AMI- JBP SUF",SF
534,12160,"JBP-AMI  SUF",SF
535,12161,"LASHKAR EXPR",EXP
536,12163,"CHENNAI EXPR",EXP
537,12164,"CHENNAI EXP",EXP
538,12165,"LTT BSB SUP",SF
539,12166,"BSB LTT SUP",SF
540,12167,"LTT(T)-BSB S",SF
541,12168,"BSB-LTT SF E",SF
542,12169,"SUR INTERCIT",SF
543,12170,"PUNE INTERCI",SF
544,12171,"LTT - HW SUP",SF
545,12172,"HW - LTT SUP",SF
546,12173,"LTT-CNB EXPR",EXP
547,12174,"CNB-LTT EXPR",EXP
548,12175,"CHAMBAL EXP",EXP
549,12176,"CHAMBAL EXPR",EXP
550,12179,"INTERCITY",SF
